order,font_id,display_name,font_path
52,052_font,상해찬미체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\상해찬미체\나눔손글씨 상해찬미체.ttf
53,053_font,성실체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\성실체\나눔손글씨 성실체.ttf
54,054_font,세계적인_한글,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\세계적인_한글\나눔손글씨 세계적인 한글.ttf
55,055_font,세아체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\세아체\나눔손글씨 세아체.ttf
56,056_font,세화체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\세화체\나눔손글씨 세화체.ttf
57,057_font,소미체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\소미체\나눔손글씨 소미체.ttf
58,058_font,소방관의_기도,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\소방관의_기도\나눔손글씨 소방관의 기도.ttf
59,059_font,손편지체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\손편지체\나눔손글씨 손편지체.ttf
60,060_font,수줍은_대학생,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\수줍은_대학생\나눔손글씨 수줍은 대학생.ttf
61,061_font,시우_귀여워,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\시우_귀여워\나눔손글씨 시우 귀여워.ttf
62,062_font,신혼부부,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\신혼부부\나눔손글씨 신혼부부.ttf
63,063_font,아기사랑체,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\아기사랑체\나눔손글씨 아기사랑체.ttf
64,064_font,아름드리_꽃나무,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\아름드리_꽃나무\나눔손글씨 아름드리 꽃나무.ttf
65,065_font,아빠글씨,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\아빠글씨\나눔손글씨 아빠글씨.ttf
66,066_font,아빠의_연애편지,C:\Users\ccomet0810\Documents\GitHub\handwriting-to-ai-font\clova-all\clova-all\아빠의_연애편지\나눔손글씨 아빠의 연애편지.ttf
